1、 3'8/35
1028、 1'1/6
1029、 4'2/3
1030、 49/54
1031、 1'73/180
1032、 1/3
1033、 2'2/9
1034、 3/4
1035、 1/9
1036、 1/2
1037、 2'2/3
1038、 63
1039、 4'3/20
1040、 1'1/9
1041、 1'1/70
1042、 1/3
1043、 9'1/2
1044、 10'3/4
1045、 2
1046、 1'92/315
1047、 3'13/15
1048、 7/45
1049、 2'1/3
1050、 4'1/8
1051、 24'2/7
1052、 30'3/8
1053、 5
1054、 2'1/21
1055、 4
1056、 5'1/3
1057、 3'8/9
1058、 1'1/12
1059、 3'19/24
1060、 1'4/5
1061、 25/28
1062、 9'1/2
1063、 2'39/112
1064、 8'3/4
1065、 7
1066、 32/63
1067、 2/9
1068、 3/8
1069、 1'3/4
1070、 7'7/12
1071、 1'1/4
1072、 2'22/45
1073、 2'5/7
1074、 1'2/3
1075、 12'4/9
1076、 3/14
1077、 5'7/9
1078、 18
1079、 9'2/9
1080、 10
1081、 1'115/128
1082、 2/9
1083、 3/32
1084、 3'61/63
1085、 1'19/21
1086、 3/4
1087、 1'2/3
1088、 11/24
1089、 1'2/7
1090、 5'1/9
1091、 6'6/7
1092、 1'3/4
1093、 1'1/14
1094、 7'5/16
1095、 1'97/128
1096、 16
1097、 9/70
1098、 1'1/2
1099、 3'5/21
1100、 1'2/5
1101、 26/81
1102、 11'11/12
1103、 0
1104、 27'7/12
1105、 8/15
1106、 5/8
1107、 6'19/24
1108、 35/72
1109、 1'4/5
1110、 1'1/20
1111、 5/36
1112、 4'11/14
1113、 6/7
1114、 4'115/126
1115、 2'9/14
1116、 1'11/21
1117、 1/36
1118、 2'1/2
1119、 7'13/56
1120、 5/16
1121、 2'1/2
1122、 3'2/9
1123、 9/28
1124、 1'2/15
1125、 6
1126、 2/3
1127、 1'11/15
1128、 6'1/6
1129、 2
1130、 5/18
1131、 35/54
1132、 4'2/15
1133、 1'7/12
1134、 0
1135、 5/7
1136、 39/56
1137、 1'1/7
1138、 4
1139、 4'2/3
1140、 81/128
1141、 4'4/5
1142、 13
1143、 1'2/3
1144、 3
1145、 7/16
1146、 3
1147、 5/6
1148、 12'1/16
1149、 1
1150、 2'3/8
1151、 31/48
1152、 5'5/7
1153、 95/288
1154、 1/24
1155、 8'6/7
1156、 4/7
1157、 5'3/5
1158、 3'1/20
1159、 3/32
1160、 7'1/4
1161、 217/360
1162、 1/3
1163、 7/48
1164、 2'1/2
1165、 1'4/7
1166、 1'1/5
1167、 1'1/8
1168、 2
1169、 1'2/9
1170、 2'2/7
1171、 4/7
1172、 5/64
1173、 2'5/14
1174、 2'5/8
1175、 9
1176、 6'8/15
1177、 8
1178、 1'1/5
1179、 1'23/49
1180、 4
1181、 1'1/2
1182、 4'1/8
1183、 4'1/3
1184、 3'1/4
1185、 5'13/60
1186、 1/10
1187、 8'1/8
1188、 4
1189、 8'1/4
1190、 2/3
1191、 72/115
1192、 1/10
1193、 16
1194、 2/9
1195、 3'23/48
1196、 1'43/105
1197、 31/32
1198、 35/72
1199、 8
1200、 64/945
1201、 5'2/7
1202、 1/6
1203、 21/32
1204、 1'4/5
1205、 2'1/84
1206、 4/63
1207、 15'3/4
1208、 1'17/32
1209、 193/280
1210、 1'19/56
1211、 2'1/10
1212、 1'1/3
1213、 1'1/3
1214、 2/3
1215、 2
1216、 4'1/20
1217、 2'205/216
1218、 1/4
1219、 64
1220、 5'1/4
1221、 16/25
1222、 88/105
1223、 9/49
1224、 3/14
1225、 4/5
1226、 7/64
1227、 3/14
1228、 3'51/88
1229、 7'1/3
1230、 10
1231、 5/12
1232、 5/6
1233、 1'209/315
1234、 3'15/16
1235、 4'3/5
1236、 8'1/4
1237、 2'7/10
1238、 1'2/25
1239、 89/160
1240、 6/7
1241、 1'7/36
1242、 8
1243、 3'9/14
1244、 1'1/5
1245、 2'11/18
1246、 2'3/4
1247、 1'3/4
1248、 18
1249、 1'6/7
1250、 1'3/20
1251、 25/36
1252、 5'5/8
1253、 7'1/2
1254、 3'25/84
1255、 7/9
1256、 4'7/9
1257、 2'3/8
1258、 2'3/8
1259、 1'2/5
1260、 3/20
1261、 1'1/12
1262、 161/320
1263、 1'2/3
1264、 1
1265、 7/8
1266、 6/49
1267、 1/8
1268、 1'26/63
1269、 1'1/9
1270、 6'22/63
1271、 3'9/14
1272、 2'1/4
1273、 23/28
1274、 1'5/18
1275、 2/3
1276、 3
1277、 1
1278、 1'7/12
1279、 4'2/5
1280、 7/45
1281、 85'1/3
1282、 1/9
1283、 1'7/40
1284、 1'7/20
1285、 17/42
1286、 4'1/4
1287、 5'1/24
1288、 3'7/12
1289、 4/7
1290、 1'2/21
1291、 3'1/12
1292、 3'1/2
1293、 1'1/7
1294、 3/14
1295、 3/8
1296、 7'20/27
1297、 27/50
1298、 1'1/9
1299、 15/28
1300、 25/64
1301、 15'3/4
1302、 37'4/5
1303、 5/12
1304、 4'5/8
1305、 33/40
1306、 1'2/7
1307、 7'8/105
1308、 2/9
1309、 8'1/3
1310、 34/45
1311、 2
1312、 3'12/35
1313、 9/35
1314、 4
1315、 2'1/6
1316、 20'1/4
1317、 7/40
1318、 12
1319、 2'2/5
1320、 3/5
1321、 16/35
1322、 1'11/49
1323、 6/7
1324、 4'1/9
1325、 27/40
1326、 2'5/7
1327、 3/8
1328、 2'11/14
1329、 2'6/7
1330、 1'5/28
1331、 1/8
1332、 15'1/4
1333、 1'5/6
1334、 4'44/45
1335、 2
1336、 1
1337、 1'19/36
1338、 8/27
1339、 30'3/4
1340、 2/3
1341、 1/120
1342、 23/32
1343、 3'8/9
1344、 1/8
1345、 823/2835
1346、 2'3/28
1347、 3'4/9
1348、 1/16
1349、 2'13/18
1350、 91/162
1351、 5/6
1352、 35/54
1353、 1
1354、 11/24
1355、 5'2/7
1356、 2'4/7
1357、 14/45
1358、 1'1/5
1359、 2'107/168
1360、 3'3/4
1361、 89/144
1362、 7/45
1363、 1'1/6
1364、 7'1/3
1365、 2'1/3
1366、 31/72
1367、 4'9/10
1368、 16'11/16
1369、 1'3/5
1370、 1'11/16
1371、 67/72
1372、 2'5/6
1373、 1/9
1374、 1'1/8
1375、 1
1376、 3/5
1377、 16
1378、 3'3/14
1379、 1'27/40
1380、 1/3
1381、 26'1/4
1382、 9/20
1383、 3'1/8
1384、 2/5
1385、 2
1386、 1'104/315
1387、 7'2/5
1388、 11/20
1389、 1/5
1390、 6/35
1391、 14'1/4
1392、 5/8
1393、 1'1/7
1394、 6/7
1395、 3'1/60
1396、 3'1/3
1397、 6
1398、 1'2/35
1399、 1/30
1400、 1/6
1401、 4/19
1402、 4/9
1403、 16/63
1404、 6'1/4
1405、 14/27
1406、 8'2/9
1407、 3
1408、 1/7
1409、 2'25/28
1410、 11/14
1411、 3'3/35
1412、 2'1/6
1413、 56/873
1414、 0
1415、 15
1416、 2'2/5
1417、 97/224
1418、 2
1419、 1'1/3
1420、 40/147
1421、 3/35
1422、 5'3/7
1423、 2'7/10
1424、 13/18
1425、 8/9
1426、 9/64
1427、 2'1/30
1428、 12/49
1429、 1'31/36
1430、 2/9
1431、 5'6/7
1432、 88/135
1433、 3'3/8
1434、 2'61/105
1435、 6'7/18
1436、 17
1437、 85/147
1438、 5/48
1439、 1'1/7
1440、 3'1/10
1441、 1/2
1442、 1
1443、 26'2/3
1444、 319/364
1445、 2'29/36
1446、 3/4
1447、 6'7/8
1448、 24/35
1449、 8/21
1450、 1'5/9
1451、 2'31/42
1452、 7'13/45
1453、 5/9
1454、 4'5/8
1455、 1'1/9
1456、 3'1/2
1457、 1/8
1458、 6/35
1459、 7/90
1460、 17
1461、 4'16/21
1462、 1'2/3
1463、 1'7/8
1464、 20'1/5
1465、 13'1/2
1466、 6
1467、 2'4/9
1468、 1'93/112
1469、 12
1470、 0
1471、 11/24
1472、 1'22/27
1473、 5/12
1474、 2'7/12
1475、 5/24
1476、 3'1/2
1477、 2'4/5
1478、 1'1/2
1479、 1'2/3
1480、 18'2/3
1481、 0
1482、 5'41/80
1483、 5/56
1484、 7/20
1485、 6
1486、 4/5
1487、 1'23/36
1488、 13/18
1489、 9/16
1490、 3'9/10
1491、 4'1/2
1492、 5/8
1493、 2'31/360
1494、 2'2/9
1495、 2'17/20
1496、 8/9
1497、 1'73/84
1498、 3'1/2
1499、 4/105
1500、 4'4/5
1501、 1'1/9
1502、 2'2/15
1503、 2'64/147
1504、 2'1/3
1505、 1'18/25
1506、 6'3/4
1507、 3/32
1508、 11'9/10
1509、 3'1/16
1510、 1'1/8
1511、 4'3/10
1512、 1'23/105
1513、 1'103/224
1514、 1'1/5
1515、 1'3/5
1516、 2'5/8
1517、 16'2/7
1518、 1/3
1519、 3'109/168
1520、 3'2/3
1521、 59/90
1522、 28/45
1523、 11'1/12
1524、 2'31/48
1525、 1/4
1526、 25/162
1527、 4
1528、 5/6
1529、 3/7
1530、 2'27/80
1531、 7/15
1532、 1/10
1533、 1'11/60
1534、 2'1/4
1535、 1/6
1536、 3'17/30
1537、 4'4/63
1538、 11/90
1539、 1'17/56
1540、 1'1/2
1541、 2'13/105
1542、 1'1/8
1543、 1/12
1544、 2'1/2
1545、 115/378
1546、 3/8
1547、 11'1/4
1548、 6/7
1549、 7'121/160
1550、 3/5
1551、 1'5/27
1552、 1'1/2
1553、 11/12
1554、 13/20
1555、 4'7/20
1556、 1'1/2
1557、 3'7/20
1558、 2'1/4
1559、 9/20
1560、 34/45
1561、 13/105
1562、 4'137/168
1563、 28/81
1564、 3'1/6
1565、 1
1566、 3/14
1567、 7/24
1568、 12'3/20
1569、 3'41/120
1570、 2'6/7
1571、 3'3/4
1572、 12'1/2
1573、 20/21
1574、 63/284
1575、 1'31/33
1576、 3/4
1577、 1'8/27
1578、 10/27
1579、 4'1/6
1580、 1'19/45
1581、 1'8/9
1582、 31/504
1583、 1'2/3
1584、 11/16
1585、 1'2/27
1586、 16/315
1587、 2'1/4
1588、 3'19/112
1589、 1/162
1590、 1'1/15
1591、 1'1/3
1592、 3'3/14
1593、 6
1594、 1/20
1595、 6'1/8
1596、 3'68/105
1597、 5'89/182
1598、 209/315
1599、 1/36
1600、 2'3/14
1601、 6'5/6
1602、 2'26/45
1603、 2/5
1604、 4
1605、 1'1/5
1606、 2/9
1607、 1'1/20
1608、 40/81
1609、 9/10
1610、 2'1/30
1611、 2'7/64
1612、 4'164/405
1613、 25/224
1614、 6'13/35
1615、 1/63
1616、 2
1617、 10'27/28
1618、 4
1619、 5
1620、 1'1/9
1621、 16/21
1622、 3'5/6
1623、 6'18/25
1624、 1'1/6
1625、 5/63
1626、 2'2/5
1627、 9'2/9
1628、 2'2/3
1629、 1'5/9
1630、 6'13/18
1631、 4
1632、 1'22/45
1633、 8
1634、 33/35
1635、 2'1/2
1636、 3'5/48
1637、 2'1/3
1638、 2'5/42
1639、 1/4
1640、 3/25
1641、 5'43/168
1642、 1/72
1643、 0
1644、 4'41/280
1645、 1'17/24
1646、 2'1/3
1647、 9
1648、 18/35
1649、 25/27
1650、 1'2/5
1651、 0
1652、 15
1653、 1'1/18
1654、 20/21
1655、 9'1/2
1656、 6
1657、 2
1658、 4/15
1659、 1/4
1660、 2'19/24
1661、 4'5/6
1662、 8'1/10
1663、 2'1/2
1664、 1'55/63
1665、 4
1666、 11'11/20
1667、 9/32
1668、 18'9/10
1669、 4'7/8
1670、 12'3/7
1671、 3'5/6
1672、 9
1673、 1'1/24
1674、 4'1/168
1675、 2
1676、 1'9/14
1677、 4'13/70
1678、 4'27/280
1679、 1'119/120
1680、 1'53/126
1681、 112/135
1682、 1/2
1683、 2'1/24
